,State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Food environment index,Physical inactivity,Access to exercise opportunities,Primary care physicians,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income
3368,NC,South,South Atlantic,Moore County,37125,37125,Region 20,1/1/2015,7025.0,0.154,3.6,3.1,7.2,0.266,0.681,97.0,0.221,0.081,8895.0,0.177,99.0,50169
3369,NC,South,South Atlantic,Nash County,37127,37127,Region 20,1/1/2014,9178.0,0.202,2.9,3.1,6.446,0.304,0.535,60.0,0.218,0.076,8725.0,0.206,76.0,40937
3370,NC,South,South Atlantic,Nash County,37127,37127,Region 20,1/1/2015,8879.0,0.202,2.9,3.1,6.1,0.321,0.634,60.0,0.236,0.075,9511.0,0.206,81.0,41575
3371,NC,South,South Atlantic,New Hanover County,37129,37129,Region 20,1/1/2014,6525.0,0.15,3.3,3.4,6.846,0.21,0.787,88.0,0.227,0.074,8982.0,0.143,138.0,50890
3372,NC,South,South Atlantic,New Hanover County,37129,37129,Region 20,1/1/2015,6209.0,0.15,3.3,3.4,6.5,0.199,0.871,92.0,0.221,0.071,9130.0,0.143,143.0,48651
3373,NC,South,South Atlantic,Northampton County,37131,37131,Insuff Data,1/1/2014,10148.0,0.246,4.1,3.6,6.168,0.341,0.177,9.0,0.213,0.062,9012.0,0.226,23.0,31217
3374,NC,South,South Atlantic,Northampton County,37131,37131,Insuff Data,1/1/2015,10052.0,0.246,4.1,3.6,5.7,0.344,0.249,9.0,0.21,0.068,9909.0,0.226,24.0,31732
3375,NC,South,South Atlantic,Onslow County,37133,37133,Region 20,1/1/2014,7303.0,0.166,4.2,3.8,6.667,0.236,0.343,33.0,0.193,0.06,9139.0,0.127,76.0,44263
3376,NC,South,South Atlantic,Onslow County,37133,37133,Region 20,1/1/2015,7122.0,0.166,4.2,3.8,6.3,0.239,0.591,33.0,0.211,0.07,9651.0,0.127,75.0,45213
3377,NC,South,South Atlantic,Orange County,37135,37135,Region 20,1/1/2014,5063.0,0.128,2.8,3.1,6.924,0.16,0.794,198.0,0.19,0.09,7147.0,0.135,180.0,53026
3378,NC,South,South Atlantic,Orange County,37135,37135,Region 20,1/1/2015,4569.0,0.128,2.8,3.1,6.6,0.158,0.857,180.0,0.172,0.073,7147.0,0.135,181.0,59472
3379,NC,South,South Atlantic,Pamlico County,37137,37137,Region 20,1/1/2014,9428.0,,2.1,,7.899,0.287,0.301,38.0,0.215,0.104,8082.0,,38.0,41004
3380,NC,South,South Atlantic,Pamlico County,37137,37137,Region 20,1/1/2015,7279.0,,2.1,,7.5,0.273,0.315,38.0,0.224,0.101,9062.0,,39.0,43517
3381,NC,South,South Atlantic,Pasquotank County,37139,37139,Region 1,1/1/2014,8052.0,0.205,3.2,3.3,6.04,0.293,0.737,54.0,0.217,0.072,8307.0,0.147,89.0,43935
